,Importance
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.6954034419466285
Unnamed: 0,0.050631330840494995
equivalentSoundLevel_dBp,0.033942708713825515
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.017864515923080904
F1frequency_sma3nz_stddevNorm,0.015833658241986275
F0semitoneFrom27.5Hz_sma3nz_amean,0.01450026998422726
shimmerLocaldB_sma3nz_amean,0.011550361381598066
slopeUV500-1500_sma3nz_amean,0.00848236061213118
F3frequency_sma3nz_stddevNorm,0.007313921161587593
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.0065406633205841915
F3bandwidth_sma3nz_stddevNorm,0.005729672260235137
spectralFluxV_sma3nz_amean,0.005467445885054162
F2frequency_sma3nz_amean,0.005186289346543986
slopeUV0-500_sma3nz_amean,0.004452547120830468
mfcc3V_sma3nz_stddevNorm,0.00439624330721475
mfcc4V_sma3nz_stddevNorm,0.00414084611169093
mfcc2V_sma3nz_amean,0.003765145173980087
spectralFluxUV_sma3nz_amean,0.003552172793090783
slopeV0-500_sma3nz_amean,0.0035403662199823874
mfcc3_sma3_amean,0.003539595831076892
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.003462507794156876
F1frequency_sma3nz_amean,0.0033654848288411157
loudness_sma3_percentile50.0,0.003357572658384447
mfcc4_sma3_stddevNorm,0.0030030624197564986
HNRdBACF_sma3nz_stddevNorm,0.0029831266662548902
hammarbergIndexUV_sma3nz_amean,0.002965607906162985
loudness_sma3_percentile20.0,0.0029428769931266344
F1bandwidth_sma3nz_amean,0.0027686839832305075
mfcc1V_sma3nz_stddevNorm,0.0026883321475364404
MeanVoicedSegmentLengthSec,0.0025904511554665317
mfcc1_sma3_stddevNorm,0.002510231608493766
spectralFlux_sma3_amean,0.002479144041346427
mfcc2_sma3_amean,0.0024288180059654535
MeanUnvoicedSegmentLength,0.002342715923534265
mfcc3_sma3_stddevNorm,0.0023337089302031063
logRelF0-H1-A3_sma3nz_amean,0.0021589205539814652
loudness_sma3_stddevFallingSlope,0.0021294189303775247
jitterLocal_sma3nz_stddevNorm,0.0020475796356920063
loudness_sma3_stddevRisingSlope,0.0019417730451156251
spectralFlux_sma3_stddevNorm,0.0018422551494804613
slopeV0-500_sma3nz_stddevNorm,0.0018315933992969536
slopeV500-1500_sma3nz_amean,0.0017780994085211243
F2frequency_sma3nz_stddevNorm,0.0017633101434871659
VoicedSegmentsPerSec,0.0017266047322755862
mfcc4_sma3_amean,0.0016955938817104594
loudness_sma3_meanFallingSlope,0.0016780721019316915
loudness_sma3_meanRisingSlope,0.001674362680932443
loudnessPeaksPerSec,0.0016546975423929338
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.0016251903703120138
shimmerLocaldB_sma3nz_stddevNorm,0.0015824317177233452
alphaRatioUV_sma3nz_amean,0.0015521280012581718
mfcc1_sma3_amean,0.0015013558133387414
hammarbergIndexV_sma3nz_stddevNorm,0.0014887446932606776
mfcc2V_sma3nz_stddevNorm,0.0014188235525848815
mfcc1V_sma3nz_amean,0.0012658674501820448
logRelF0-H1-H2_sma3nz_amean,0.0012552601668810218
loudness_sma3_stddevNorm,0.0012250822502024845
HNRdBACF_sma3nz_amean,0.0012140732744931838
mfcc3V_sma3nz_amean,0.001203451516653453
alphaRatioV_sma3nz_stddevNorm,0.0011919532331915751
F2bandwidth_sma3nz_stddevNorm,0.0011750052434667576
logRelF0-H1-H2_sma3nz_stddevNorm,0.0011040831218408335
loudness_sma3_amean,0.0009625121717118999
F1bandwidth_sma3nz_stddevNorm,0.0009195693209739843
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.0006507283184425921
alphaRatioV_sma3nz_amean,0.0006208817588126662
F1amplitudeLogRelF0_sma3nz_amean,0.0006130462139826564
F2amplitudeLogRelF0_sma3nz_stddevNorm,0.000521515008422746
loudness_sma3_percentile80.0,0.0005108718449855468
StddevUnvoicedSegmentLength,0.00046192421083386816
mfcc4V_sma3nz_amean,0.0004555244473777347
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.0004545793159764619
logRelF0-H1-A3_sma3nz_stddevNorm,0.0003787756969624555
F3frequency_sma3nz_amean,0.0003773076252787736
mfcc2_sma3_stddevNorm,0.00037716710430573574
F2bandwidth_sma3nz_amean,0.0003700736453109749
spectralFluxV_sma3nz_stddevNorm,0.0003643441445137455
hammarbergIndexV_sma3nz_amean,0.00034821217736043226
loudness_sma3_pctlrange0-2,0.00032841761463356595
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.0002554359224927734
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.0001245339560500515
F3bandwidth_sma3nz_amean,0.00012296665268286036
jitterLocal_sma3nz_amean,0.0
F3amplitudeLogRelF0_sma3nz_amean,0.0
F3amplitudeLogRelF0_sma3nz_stddevNorm,0.0
F2amplitudeLogRelF0_sma3nz_amean,0.0
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.0
StddevVoicedSegmentLengthSec,0.0
slopeV500-1500_sma3nz_stddevNorm,0.0
